name,address,wifi
うみんちゅぬ やまんちゅぬ 北大前店,北海道札幌市北区北１４条西３丁目ゼウスビル1F,未確認
島人酒場 もぅあしび～,沖縄県那覇市久茂地２-12-24,なし
居酒屋 鬼さん 久茂地店,沖縄県那覇市久茂地３-１２-４　ラフテビルB1,未確認
地酒炭火焼 ちちり,沖縄県那覇市おもろまち４-8-7 1F,あり
バルコラボ 県庁前店,沖縄県那覇市泉崎１-11-2 ダイワロイネットホテル沖縄県庁前1F,あり
居酒家 ぶらんこ,沖縄県宜野湾市愛知１‐5‐13,あり
島人の宝 北7店,北海道札幌市東区北７条東３　1番地,未確認
沖縄料理 鉄板Dining 花火 HANABI,沖縄県那覇市松尾１-3-8,あり
野菜巻串屋 ぐるり 国際通り店,沖縄県那覇市久茂地３-9-6,あり
舞天 久茂地店,沖縄県那覇市久茂地３－１１－２２,あり
炭火焼肉 BISTRO 山城牛,沖縄県那覇市松山１－５－１　ナムラプラザ１Ｆ,あり
和琉Dining&BAR 美らSUN,沖縄県うるま市石川白浜１-5-34 リバーストーンヒル7F,あり
Zipang ジパング 新都心店,沖縄県那覇市おもろまち４－７－２６　Kudaおもろまちビル１F　１０２号,あり
沖縄料理 琉球むら,千葉県成田市花崎町736 開運ビル3F-5,あり
沖縄食堂じまんや,沖縄県那覇市牧志２－１７－４６,あり
外食家 くじら 北中城店,沖縄県中頭郡北中城村仲順443-1,あり
地酒と炙りの 火人粋,沖縄県那覇市久茂地３－１２－１８,あり
ぱいかじ 国際通り牧志店,沖縄県那覇市牧志２－３－１　Ｋ２ビル　２Ｆ,あり
あぐーの隠れ家 冨着店,沖縄県国頭郡恩納村字富着１－１,あり
Jungle Gorilla ジャングル ゴリラ 門真市,大阪府門真市新橋町8－31　,あり
MEAT&PIZZA バル コラボ 那覇天久店,沖縄県那覇市天久２-2-5 ファミール天久1F,未確認
あぐーの隠れ家 万座店,沖縄県国頭郡恩納村瀬良垣２５０１－６,あり
みんなのイタリアン 沖縄,沖縄県沖縄市中央１-8-5,あり
沖縄創作居酒屋 琉球ぼうず 上北台店,東京都東大和市蔵敷３-９０７-１,あり
KAME-SUN カメサン,沖縄県那覇市前島２－７－１５,あり
大衆イタ飯酒場 あるべろぐらんで,沖縄県宜野湾市普天間２-6-2 1F,なし
INFINITI LocaTion&Dining,沖縄県中頭郡北谷町港１５　シータイムビル3F,あり
HUB ハブ 久茂地店,沖縄県那覇市久茂地３－１１－１７－３Ｆ ,あり
CORE CURRY 那覇市コープあっぷるタウン店,沖縄県那覇市おもろまち３-3-1　コープあっぷるたうん2F,なし
HANAHOU 嘉手納店,沖縄県中頭郡嘉手納町嘉手納297-2,あり
大衆居酒屋 コザ商店,沖縄県沖縄市園田３-1-23,あり
